Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Region,IncomeGroup
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,4.03225805628625,1.07396640826832,3.64304545817704,3.12186849610724,3.99162804604573,5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756,4.04402131190514,2.8836043031626,3.31524678585428,3.65636507938414,2.52912946932762,3.39778677828806,3.60802438784541,5.39256784475512,8.9559870517779,-2.13542872046934,2.07814071860782,4.31629742195207,0.627471992893334,-2.37206524252253,0.42144091888116,0.474763597342612,-0.931195987079616,-1.02828178762002,3.62604141352956,4.25746204335428,,Latin America & Caribbean,High income
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.250420244814,1.56181317449067,0.877983288285896,0.877346595685083,0.662268900269082,1.10111836375706,2.34626865671643,4.06996608361598,1.61748808904192,1.96682557818839,3.06863379251994,-1.93108114782171,-2.0794031794094,Middle East & North Africa,High income
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12128789571148,0.771779796900182,1.40279663573984,2.40765801293492,1.99353055152456,2.03007757853236,2.09875196709306,1.78778537419119,1.4160525940974,5.33380639820237,-0.550159995508912,3.3700254022015,3.45674967234602,3.37688044338876,1.05949782356168,1.0894415743536,0.968993458825599,-0.489437796230513,2.43248789041366,1.20715793367003,1.43135598182989,,Latin America & Caribbean,High income
Australia,AUS,3.72881355932205,2.2875816993464,-0.319488817891384,0.641025641025639,2.86624203821656,3.40557275541798,3.29341317365269,3.47826086956521,2.52100840336133,3.27868852459017,3.43915343915344,6.13810741687979,6.02409638554218,9.09090909090911,15.4166666666667,15.1624548736462,13.3228840125392,12.3098201936376,8.00492610837437,9.12200684150512,10.1358411703239,9.48766603415561,11.3518197573657,10.0389105058366,3.96039603960395,6.73469387755101,9.05035054174635,8.53302162478083,7.21593968766826,7.53390256152692,7.33302195235869,3.17667536988686,1.01223112610711,1.75365344467641,1.96963479688142,4.62776659959758,2.61538461538462,0.224887556221881,0.860134629768157,1.48312940304038,4.45743514797225,4.4071353620147,2.98157453936349,2.73259596616783,2.34325522482587,2.69183168316831,3.55528773727028,2.32761128891476,4.35029854990047,1.77111716621252,2.91834002677376,3.30385015608744,1.76278015613193,2.44988864142539,2.48792270531403,1.50836672165921,1.27699094497328,1.94864740944522,1.91140094445692,1.61076787290379,0.846905537459293,East Asia & Pacific,High income
Austria,AUT,1.94574935198639,3.54223986727562,4.38179863851184,2.7087669949983,3.86856354936625,4.93091637676271,2.05482059257983,3.97467292898835,2.76486447339764,3.08040419539539,4.37282441582133,4.704258138287,6.35514612686782,7.53107803827125,9.52178819742239,8.44525863917966,7.31868545106923,5.49461568127665,3.57431857551219,3.70740096353416,6.32832536226099,6.80304177599256,5.43603082512853,3.33916453409529,5.66318573909355,3.1895168180519,1.70544456731969,1.40195271783978,1.91571684671255,2.56834829029368,3.26187231878578,3.3374270347479,4.02084780038555,3.63178524943182,2.95340936761076,2.24336631500904,1.86097115760431,1.30597857227694,0.92246719668082,0.568993765885587,2.34486285357277,2.65000077279529,1.81035787764132,1.35555370896445,2.06120618032866,2.29913785639285,1.44154851119019,2.16855528800755,3.21595033239883,0.506308827696486,1.81353438995065,3.28657914875376,2.48567562177017,2.00015616900603,1.60581182954471,0.896563335260302,0.891591752655335,2.08126911385587,1.99837981429546,1.53089564152645,1.38191063351859,Europe & Central Asia,High income
Belgium,BEL,0.299467254769634,0.992676260767344,1.40460703543509,2.14800341332203,4.16876058564369,4.06520137474648,4.17434761852997,2.73030268590904,2.70144982931352,3.75399229053284,3.90847238471907,4.34362854612099,5.44843128438077,6.95528008719915,12.6778877513452,12.7681985920515,9.06860981054963,7.09600059132598,4.47059331592941,4.46908394900489,6.64868829655357,7.62748656814273,8.72654906555468,7.66160983743879,6.34177491009128,4.86873399496945,1.29436819102482,1.55338261314945,1.16093493415326,3.10705065111097,3.44831217961809,3.21531069260804,2.42795567164621,2.75442643473457,2.37754084476403,1.46796699090272,2.07702107350668,1.62816049512961,0.949250288350641,1.12084823417844,2.54451776190906,2.46925823086078,1.64521436175359,1.58896399970379,2.09728311239314,2.78143263670025,1.79120770070454,1.8230563002681,4.48944420508401,-0.0531456741253762,2.18929920422458,3.53208210722744,2.83966343445897,1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609,2.05316499865181,1.43681956996435,0.740791812220385,Europe & Central Asia,High income
Bahrain,BHR,,,,,,,2.13447171852238,4.25809822309291,3.25732899024462,-0.194127638923867,1.62898127839347,5.78947368498401,5.08819538648818,14.3318269849979,24.3929983061798,16.1597821153707,22.495766575964,17.7311208942373,15.7855375941987,2.20599195116765,3.86952505941505,11.3445968083975,8.88571308471458,2.97239915075073,0.322399250235335,-2.63596930296972,-2.29609321419559,-1.7450017537706,0.303435966086571,1.48589732182573,0.929335437489092,0.764419735927589,-0.172413793103325,2.53886010362698,0.816910897759777,2.70403475064702,-0.452227382530316,2.43155133955926,-0.366533864541796,-1.2875879718491,-0.704852953090768,-1.2075718015666,-0.495540138751172,1.59362549800788,2.35294117647061,2.58620689655173,2.00746965452849,3.25666666666702,3.52600316363722,2.79551283550411,1.96188468334624,-0.400040697488052,2.75739669962976,3.30001156888438,2.64755321246194,1.8486274237498,2.78679347602047,1.38671830576397,2.08766938046983,1.00582004702132,-2.31770629331374,Middle East & North Africa,High income
"Bahamas, The",BHS,,,,,,,,5.43775649904798,4.54103146287564,8.93577412289433,6.15209342130048,4.61497182668252,6.83081131902367,5.48175416169897,13.0718458387013,10.3596349973051,4.25583657583808,3.1898763705575,6.10907035899869,9.09139326792412,12.0978372310682,11.1144984973891,6.01262101667497,3.99999999999995,3.96634615384614,4.60500963391137,5.43378154356233,5.75646401118136,4.40241182786762,5.38765822784808,4.66931912018676,7.11468120203626,5.73819886173449,2.72289766970589,1.39933423745549,2.06699495410041,1.37913741223667,0.544150383378706,1.33661336613368,1.25424826023631,1.6063294174058,2.04498977505121,2.17357792508091,3.02504526252236,0.981914036757665,1.59160618079803,2.38982627439253,2.49257794939399,4.48955995375059,2.0627347345268,1.34402738392836,3.19878141660321,1.97336755976255,1.03467035109885,-7.2245427291407,11.1111111111111,-0.330038395555927,1.49992623313609,2.26751510061695,2.49123527368055,0.0385210980053727,Latin America & Caribbean,High income
Barbados,BRB,,,,,,,,3.63487515335757,7.48874318687619,5.83523186605491,7.28421637368523,7.46925566353862,11.8766562275328,16.8550818260213,38.9229280878111,20.2944687625289,4.98676811113183,8.35236969934997,9.48238259101763,13.1698355431799,14.4305197203942,14.5675632146886,10.3324664370561,5.2302987828884,4.68579731185599,3.91510525082794,1.33006845161914,3.31173110743254,4.85885917814048,6.1901140684412,3.07457271078019,6.2575266327002,6.09389302994641,1.11343933604483,0.0772043884602162,1.87886279357232,2.38615222842323,7.71053878969884,-1.26888660701212,1.56006240249606,2.43581303489138,2.57783490431289,0.125249458055994,1.61943319838056,1.39442231075689,6.08218729535043,7.30766262828941,4.03422982885069,8.1081081081078,3.64386189258338,5.82421853311865,9.43220240177216,4.53334753888771,1.81410436049101,1.76950322089726,-1.11278992510961,1.28192813061894,4.66018463955997,3.67381410406798,4.10028964518463,,Latin America & Caribbean,High income
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,9.13705583756339,6.35658914728686,1.1661807580175,3.07396733909727,2.35321528424929,1.78124288641065,1.24685490634577,1.19284294234599,1.30430037109821,2.13866293163794,1.60000000000001,1.27952755905517,4.25170068027211,2.46251844946788,5.96664139499613,1.99613650998079,1.71156004489334,-0.441379310344899,-0.415627597672449,1.55815247634947,0.595890410958983,-2.3149724245932,0.299999999999977,0.814223994682602,1.24443711883964,0.159888078345143,0.967774119525083,2.08498023715416,1.03571774271615,0.356869132017602,0.137911563169595,0.111766261400274,0.389205053123613,-0.207108731719878,-0.488347420743486,-0.278693265753062,-1.26050564628963,1.02505179290213,-0.390522069165492,1.94031996607178,East Asia & Pacific,High income
